fundcode,name,jzrq,dwjz,gsz,gszzl,gztime,fetch_time
022365,永赢科技智选混合发起C,2026-05-19,5.1708,5.1957,0.48,2026-05-20 13:14,2026-05-20 13:17:08
010364,鹏华空天军工指数(LOF)C,2026-05-19,1.1206,1.1185,-0.19,2026-05-20 13:14,2026-05-20 13:17:08
025491,平安中证卫星产业指数C,2026-05-19,1.2249,1.2171,-0.64,2026-05-20 13:12,2026-05-20 13:17:08
020900,天弘中证全指通信设备指数发起C,2026-05-19,3.7899,3.7910,0.03,2026-05-20 13:12,2026-05-20 13:17:08
023639,国泰A股电网设备ETF联接C,2026-05-19,2.1542,2.1628,0.40,2026-05-20 13:14,2026-05-20 13:17:08
017103,大摩数字经济混合C,2026-05-19,3.9413,3.9527,0.29,2026-05-20 13:12,2026-05-20 13:17:08
025833,天弘电网设备特高压指数C,2026-05-19,1.4748,1.4783,0.24,2026-05-20 13:12,2026-05-20 13:17:08
011120,富国创新科技混合C,2026-05-19,4.5970,4.6386,0.91,2026-05-20 13:14,2026-05-20 13:17:08
004409,招商深证TMT50ETF联接C,2026-05-19,3.6390,3.6386,-0.01,2026-05-20 13:14,2026-05-20 13:17:08
000043,嘉实美国成长股票人民币,2026-05-18,6.2610,6.2229,-0.61,2026-05-20 04:00,2026-05-20 13:17:08
001701,国联产业升级混合,2026-05-19,3.1500,3.1585,0.27,2026-05-20 13:14,2026-05-20 13:17:08
025422,浦银安盛数字经济混合C,2026-05-19,2.1333,2.1302,-0.15,2026-05-20 13:12,2026-05-20 13:17:08
020256,中欧中证机器人指数发起C,2026-05-19,1.8213,1.8102,-0.61,2026-05-20 13:12,2026-05-20 13:17:08
016531,鹏华碳中和主题混合C,2026-05-19,2.0281,2.0267,-0.07,2026-05-20 13:14,2026-05-20 13:17:08
018124,永赢先进制造智选混合发起A,2026-05-19,2.5785,2.5608,-0.69,2026-05-20 13:12,2026-05-20 13:17:08
001630,天弘中证计算机ETF联接C,2026-05-19,0.9085,0.8988,-1.07,2026-05-20 13:14,2026-05-20 13:17:08
519126,浦银安盛新经济结构混合A,2026-05-19,2.5723,2.5813,0.35,2026-05-20 13:14,2026-05-20 13:17:08
023519,国投瑞银上证科创板200指数发起式C,2026-05-19,1.8594,1.8778,0.99,2026-05-20 13:14,2026-05-20 13:17:08
000136,民生加银策略精选混合A,2026-05-19,4.9772,4.9762,-0.02,2026-05-20 13:14,2026-05-20 13:17:08
018185,万家先进制造混合发起式C,2026-05-19,1.4131,1.4125,-0.05,2026-05-20 13:14,2026-05-20 13:17:08
000263,工银信息产业混合A,2026-05-19,5.3230,5.3500,0.51,2026-05-20 13:14,2026-05-20 13:17:08
017470,嘉实上证科创板芯片ETF发起联接C,2026-05-19,2.8924,3.0014,3.77,2026-05-20 13:12,2026-05-20 13:17:08
023896,天弘上证科创板综合指数增强C,2026-05-19,1.8640,1.9007,1.97,2026-05-20 13:14,2026-05-20 13:17:08
025949,诺安研究精选股票C,2026-05-19,3.0170,3.0134,-0.12,2026-05-20 13:14,2026-05-20 13:17:08
020465,招商中证半导体产业ETF发起式联接C,2026-05-19,3.3565,3.5498,5.76,2026-05-20 13:14,2026-05-20 13:17:08
017522,富国北证50成份指数C,2026-05-19,1.2815,1.2705,-0.86,2026-05-20 13:14,2026-05-20 13:17:08
014162,万家人工智能混合C,2026-05-19,4.2559,4.3377,1.92,2026-05-20 13:14,2026-05-20 13:17:08
018125,永赢先进制造智选混合发起C,2026-05-19,2.5478,2.5303,-0.69,2026-05-20 13:12,2026-05-20 13:17:08
019118,景顺长城纳斯达克科技ETF联接(QDII)E人民币,2026-05-18,2.7060,2.6899,-0.59,2026-05-20 04:00,2026-05-20 13:17:08
024751,兴业上证科创板人工智能指数C,2026-05-19,1.2081,1.2128,0.39,2026-05-20 13:14,2026-05-20 13:17:08
005885,金鹰信息产业股票C,2026-05-19,5.4285,5.5192,1.67,2026-05-20 13:14,2026-05-20 13:17:08
003853,金鹰信息产业股票A,2026-05-19,5.5512,5.6440,1.67,2026-05-20 13:14,2026-05-20 13:17:08
020065,西部利得科技创新混合C,2026-05-19,2.0787,2.0613,-0.84,2026-05-20 13:12,2026-05-20 13:17:08
020483,中欧中证芯片产业指数发起C,2026-05-19,3.1794,3.3123,4.18,2026-05-20 13:14,2026-05-20 13:17:08
014419,西部利得CES芯片指数增强C,2026-05-19,1.6265,1.6969,4.33,2026-05-20 13:14,2026-05-20 13:17:08
001224,中邮新思路灵活配置混合A,2026-05-19,3.9520,3.9573,0.13,2026-05-20 13:14,2026-05-20 13:17:08
320007,诺安成长混合A,2026-05-19,2.3460,2.4611,4.91,2026-05-20 13:14,2026-05-20 13:17:08
320022,诺安研究精选股票A,2026-05-19,3.0230,3.0194,-0.12,2026-05-20 13:14,2026-05-20 13:17:08
001298,金鹰民族新兴混合A,2026-05-19,2.6513,2.6257,-0.97,2026-05-20 13:14,2026-05-20 13:17:08
