fundcode,name,jzrq,dwjz,gsz,gszzl,gztime,fetch_time
022365,永赢科技智选混合发起C,2026-05-19,5.1708,5.1957,0.48,2026-05-20 13:14,2026-05-20 13:17:28
020900,天弘中证全指通信设备指数发起C,2026-05-19,3.7899,3.7910,0.03,2026-05-20 13:12,2026-05-20 13:17:28
023639,国泰A股电网设备ETF联接C,2026-05-19,2.1542,2.1628,0.40,2026-05-20 13:14,2026-05-20 13:17:28
017103,大摩数字经济混合C,2026-05-19,3.9413,3.9589,0.45,2026-05-20 13:15,2026-05-20 13:17:28
025833,天弘电网设备特高压指数C,2026-05-19,1.4748,1.4807,0.40,2026-05-20 13:14,2026-05-20 13:17:28
000043,嘉实美国成长股票人民币,2026-05-18,6.2610,6.2229,-0.61,2026-05-20 04:00,2026-05-20 13:17:28
011120,富国创新科技混合C,2026-05-19,4.5970,4.6386,0.91,2026-05-20 13:14,2026-05-20 13:17:28
004409,招商深证TMT50ETF联接C,2026-05-19,3.6390,3.6386,-0.01,2026-05-20 13:14,2026-05-20 13:17:28
000595,嘉实泰和混合,2026-05-19,3.8900,3.8843,-0.15,2026-05-20 13:15,2026-05-20 13:17:28
164205,天弘文化新兴产业股票A,2026-05-19,4.2966,4.3283,0.74,2026-05-20 13:12,2026-05-20 13:17:28
020256,中欧中证机器人指数发起C,2026-05-19,1.8213,1.8102,-0.61,2026-05-20 13:12,2026-05-20 13:17:28
019548,招商纳斯达克100ETF发起式联接(QDII)C,2026-05-18,1.5427,1.5338,-0.58,2026-05-20 04:00,2026-05-20 13:17:28
025491,平安中证卫星产业指数C,2026-05-19,1.2249,1.2185,-0.52,2026-05-20 13:14,2026-05-20 13:17:28
019118,景顺长城纳斯达克科技ETF联接(QDII)E人民币,2026-05-18,2.7060,2.6899,-0.59,2026-05-20 04:00,2026-05-20 13:17:28
011474,工银信息产业混合C,2026-05-19,5.1860,5.2123,0.51,2026-05-20 13:14,2026-05-20 13:17:28
023896,天弘上证科创板综合指数增强C,2026-05-19,1.8640,1.9007,1.97,2026-05-20 13:14,2026-05-20 13:17:28
024751,兴业上证科创板人工智能指数C,2026-05-19,1.2081,1.2128,0.39,2026-05-20 13:14,2026-05-20 13:17:28
005911,广发双擎升级混合A,2026-05-19,2.5601,2.5709,0.42,2026-05-20 13:14,2026-05-20 13:17:28
018124,永赢先进制造智选混合发起A,2026-05-19,2.5785,2.5694,-0.35,2026-05-20 13:14,2026-05-20 13:17:28
014162,万家人工智能混合C,2026-05-19,4.2559,4.3377,1.92,2026-05-20 13:14,2026-05-20 13:17:28
000263,工银信息产业混合A,2026-05-19,5.3230,5.3500,0.51,2026-05-20 13:14,2026-05-20 13:17:28
017470,嘉实上证科创板芯片ETF发起联接C,2026-05-19,2.8924,3.0095,4.05,2026-05-20 13:14,2026-05-20 13:17:28
320022,诺安研究精选股票A,2026-05-19,3.0230,3.0194,-0.12,2026-05-20 13:14,2026-05-20 13:17:28
519126,浦银安盛新经济结构混合A,2026-05-19,2.5723,2.5813,0.35,2026-05-20 13:14,2026-05-20 13:17:28
001701,国联产业升级混合,2026-05-19,3.1500,3.1585,0.27,2026-05-20 13:14,2026-05-20 13:17:28
025949,诺安研究精选股票C,2026-05-19,3.0170,3.0134,-0.12,2026-05-20 13:14,2026-05-20 13:17:28
003853,金鹰信息产业股票A,2026-05-19,5.5512,5.6440,1.67,2026-05-20 13:14,2026-05-20 13:17:28
